#	Labrune - D:\NFS World\LANGUAGES\English_Global.bin
#	File created on: 18.06.2020 21:18:33
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	D70BF3B1	GM_CATALOG_ENKEI_STYLE02_20_25	J-SPEED 3 20"
0	D70C8012	GM_CATALOG_ENKEI_STYLE02_21_25	J-SPEED 3 21"
0	23F7EE98	GM_CATALOG_ENKEI_STYLE03_17_25	ES TARMAC 17"
0	23F87AF9	GM_CATALOG_ENKEI_STYLE03_18_25	ES TARMAC 18"
0	23F9075A	GM_CATALOG_ENKEI_STYLE03_19_25	ES TARMAC 19"
0	24063072	GM_CATALOG_ENKEI_STYLE03_20_25	ES TARMAC 20"
0	2406BCD3	GM_CATALOG_ENKEI_STYLE03_21_25	ES TARMAC 21"
0	70F22B59	GM_CATALOG_ENKEI_STYLE04_17_25	WRC TARMAC 17"
0	70F2B7BA	GM_CATALOG_ENKEI_STYLE04_18_25	WRC TARMAC 18"
0	70F3441B	GM_CATALOG_ENKEI_STYLE04_19_25	WRC TARMAC 19"
0	71006D33	GM_CATALOG_ENKEI_STYLE04_20_25	WRC TARMAC 20"
0	7100F994	GM_CATALOG_ENKEI_STYLE04_21_25	WRC TARMAC 21"
0   	D2E22C89	GM_CATALOG_000029A1	EQUIP 03 DEEP 17"
0   	D2E22C8A	GM_CATALOG_000029A2	EQUIP 03 DEEP 18"
0   	D2E22C8B	GM_CATALOG_000029A3	EQUIP 03 DEEP 19"
0   	D2E22C8C	GM_CATALOG_000029A4	EQUIP 03 DEEP 20"
0	D2E22C8D	GM_CATALOG_000029A5	EQUIP 03 DEEP 21"
0	D2E22C8E	GM_CATALOG_000029A6	VS-KF DEEP 17"
0	D2E22C8F	GM_CATALOG_000029A7	VS-KF DEEP 18"
0	D2E22C90	GM_CATALOG_000029A8	VS-KF DEEP 19"
0	D2E22C91	GM_CATALOG_000029A9	VS-KF DEEP 20"
0	D2E22C99	GM_CATALOG_000029AA	VS-KF DEEP 21"
0	D2E22C9A	GM_CATALOG_000029AB	RS-GT DEEP 17"
0	D2E22C9B	GM_CATALOG_000029AC	RS-GT DEEP 18"
0	D2E22C9C	GM_CATALOG_000029AD	RS-GT DEEP 19"
0	D2E22C9D	GM_CATALOG_000029AE	RS-GT DEEP 20"
0	D2E22C9E	GM_CATALOG_000029AF	RS-GT DEEP 21"
0	D2E22CA9	GM_CATALOG_000029B0	M-SPORT DEEP 17"
0	D2E22CAA	GM_CATALOG_000029B1	M-SPORT DEEP 18"
0	D2E22CAB	GM_CATALOG_000029B2	M-SPORT DEEP 19"
0	D2E22CAC	GM_CATALOG_000029B3	M-SPORT DEEP 20"
0	D2E22CAD	GM_CATALOG_000029B4	M-SPORT DEEP 21"
0	D2E22CAE	GM_CATALOG_000029B5	RETRO DEEP 17"
0	D2E22CAF	GM_CATALOG_000029B6	RETRO DEEP 18"
0	D2E22CB0	GM_CATALOG_000029B7	RETRO DEEP 19"
0	D2E22CB1	GM_CATALOG_000029B8	RETRO DEEP 20"
0	D2E22CB2	GM_CATALOG_000029B9	RETRO DEEP 21"
