000BCB9F	GAME_ACTION_CREWDEFENSIVE	ACTIVATE CREW MEMBER
4DDB9CA5	TEXT_STREAK_BROKEN_FOOTER_SUB_TITLE	REVIVE TO KEEP THE REWARDS GOING!
4DE06784	NFSW_R8-V10_header1a	A FASTER R8 IN NFSW!
4DE067A6	NFSW_R8-V10_header2b	NOW WITH A V10 UNDER THE HOOD!
4DF57A46	TXT_OPTNS_VID_ANISOTRPC	ANISOTROPIC
4DF6A0D8	TXT_CMN_INVITE_TO_GROUP	INVITE TO GROUP
4E022DBB	SKILLNAME_RAMPAGE	RAMPAGE
4E0FB7DC	TXT_PRFL_NUMBER_OF_PURSUITS	NUMBER OF PURSUITS
4E0FD122	LBL_GET_SPEEDBOOST_NOW	GET SPEEDBOOST NOW
4E4EE377	TXT_POPUP_CREATE_PERSONA_FAIL	THERE WAS AN ERROR WITH THE CREATION OF YOUR DRIVER - PLEASE TRY AGAIN
4E584166	BDY_BOOST_ERROR_OK	¤BOOST IS USED TO BUY COOL STUFF LIKE CARS, AFTERMARKET PARTS AND POWERUPS. CLICK 'GET SPEEDBOOST NOW' TO TOP UP YOUR ACCOUNT. ONCE YOU'RE DONE, YOUR NEW BALANCE WILL BE SHOWN WHEN YOU RE-LAUNCH THE GAME OR MAKE A PURCHASE.
4E74CA75	TXT_CLICK_CARDS_TO_TURN_OVER	CLICK CARDS TO TURN THEM OVER
4E98A4D9	TXT_PURSUITEVENT_KEMPTON	KEMPTON PURSUIT
4EA5B723	TXT_CMN_REPORTDRIVER	REPORT DRIVER
4ED77A30	TXT_TOOLTIP_DURABILITY_FIXED	DURABILITY: {0:d}%
4F18F478	NFSW_NIS_S14ZY_HEADER	Modified for the Quarter Mile!
4F37BBE3	TXT_NEWS_TIER2_ENGINEPACK_SHORT	Tier 2 Engine Pack now on sale!
4F458F04	TXT_SYSCHT_PURSUITSTRT	You're now in a Pursuit! Put your foot down!
4F4F9E25	TXT_OPTNS_SOC_DECLNPRIVATEINVITE	AUTO-DECLINE ALL PRIVATE MATCH INVITES
4F5FB7A7	NFSW_NISM_JUGG_HEADER	Take Down the Rockport PD!
4F71F3DB	TTRL_RACEGADGET_1	This window appears whenever you are at a race icon.\nTo start our second race, click on the <Single Player> button.
4FA2C5D0	GM_CATALOG_RACINGHART_STYLE04_17_25	CR 17"	
4FA35231	GM_CATALOG_RACINGHART_STYLE04_18_25	CR 18"	
4FA3DE92	GM_CATALOG_RACINGHART_STYLE04_19_25	CR 19"	
4FB107AA	GM_CATALOG_RACINGHART_STYLE04_20_25	CR 20"	
4FB1940B	GM_CATALOG_RACINGHART_STYLE04_21_25	CR 21"	
4FB45869	TXT_NEWS_CAR_INS_EXPIRED	Your Car Insurance has just expired. Purchase another one in the Safehouse now!  <br/>[0:l0]
4FC94A8B	CMN_LEAVE_SAFEHOUSE	LEAVE SAFEHOUSE
4FF90E7A	POST_RACE_LEVEL_UP	LEVEL UP
5018A934	TXT_NEWS_NONEWS	No news at the moment
50467174	TXT_CHAT_LANG_FRENCH	FRENCH
50484F4D	TXT_TLTP_AUDSET_CARVOL	VOLUME OF YOUR CAR SOUNDS
50586958	PRESETCAR_DESCRIPTION_ECLIPSEGT_TEST_0	RED
506A3495	TEXT_STREAK_COUNT	TREASURE HUNT REWARD
506D9D51	TXT_NEWS_FORCED_SKILLS_RESET_2	Your Driver Skills have been reset because you had too many or too few Skill Points. You can assign points in the SAFEHOUSE under PLAYER PROFILE. [0:l0]
507E56C1	SKILL_SELECTION_0_UNUSED_POINTS	NO UNUSED SKILL POINTS
508127E2	NFSW_M3_GTS_header1	EXPERIENCE HIGH REVVING V8 POWER!
508127E3	NFSW_M3_GTS_header2	PUSH THE BOUNDRIES OF RACING!
50830A07	TXT_OPTNS_RETNTOGAME	RETURN TO GAME
50977189	SKILLMOD_DESC_ROLLING_FORTRESS	Shield duration increased by {0:s}
50A28BB0	SKILLMOD_DESC_RAPID_FIRE	Increases the cooldown speed of Nitrous by {0:s}
50ACEB27	TXT_POPUP_TRANSACTIONFAILED_LOCKEDPRODUCTNOTACCESSIBLETOTHISUSER	This product is not available.
50BEA62F	TOOL_TIP_WALDO_ROTATE_COUNTER_CLOCKWISE	ROTATE VINYL COUNTER CLOCKWISE
50E6472C	TXT_POPUP_PAINTSHOP_RESET_REQUST	ARE YOU SURE THAT YOU WANT TO RESET ALL YOUR CHANGES FOR THIS PAINT EDITING SESSION?
50E760F8	TXT_CMN_POWER_USED	POWERUPS USED
50FB3D54	TXT_CMN_PRERACE_LOBBY	PRE-RACE LOBBY
51001845	SKILL_SELECTION_SKILL_POINT_REQUIRED_PURSUIT	REQUIRES {0:d} POINTS INVESTED IN PURSUIT
513803FC	RANKING_HUD_POSITION_LABEL	POSITION
513C02A1	PART_COLLECTION_10	COLLECTION 10
513C02A2	PART_COLLECTION_11	COLLECTION 11
513C02A3	PART_COLLECTION_12	COLLECTION 12
513C02A4	PART_COLLECTION_13	COLLECTION 13
513C02A5	PART_COLLECTION_14	COLLECTION 14
513C02A6	PART_COLLECTION_15	COLLECTION 15
513C02A7	PART_COLLECTION_16	COLLECTION 16
513C02A8	PART_COLLECTION_17	COLLECTION 17
513C02A9	PART_COLLECTION_18	COLLECTION 18
513C02AA	PART_COLLECTION_19	COLLECTION 19
513C02C2	PART_COLLECTION_20	COLLECTION 20
513C02C3	PART_COLLECTION_21	COLLECTION 21
513C02C4	PART_COLLECTION_22	COLLECTION 22
513C02C5	PART_COLLECTION_23	COLLECTION 23
513C02C6	PART_COLLECTION_24	COLLECTION 24
513C02C7	PART_COLLECTION_25	COLLECTION 25
513C02C8	PART_COLLECTION_26	COLLECTION 26
513C02C9	PART_COLLECTION_27	COLLECTION 27
513C02CA	PART_COLLECTION_28	COLLECTION 28
513C02CB	PART_COLLECTION_29	COLLECTION 29
513C02E3	PART_COLLECTION_30	COLLECTION 30
513C02E4	PART_COLLECTION_31	COLLECTION 31
513C02E5	PART_COLLECTION_32	COLLECTION 32
51A037BC	TXT_NEWS_NEW_ITEM_FOR_SALE	The [0:s] is now on sale in your Safehouse. Check it out now!
51A757E7	HDR_VINYL_SHOP	VINYL SHOP
51AD2BD0	TXT_CMN_VOIP_DISABLED	*VOIP DISABLED
51B1C2F4	CAR_MANU_BUGATTI	BUGATTI
51B777F8	TXT_CHAT_LANG_GERMAN	GERMAN
51C7955F	TXT_TLTP_CARCAM_DOWN	CAMERA DOWN
51CBCBB2	TXT_TLTP_CARCAM_LEFT	CAMERA LEFT
51E9A761	TXT_KEY1_DRIVE_BACK	S
51EF349B	TXT_KEY1_DRIVE_LEFT	A
51F00859	TXT_BASE	BASE
51F094BD	TXT_CASH	CASH
51F2C4FD	TXT_GAIN	GAIN
52162291	SKILLTEXT_LIGHTNING_REFLEX_R5	Decreases Ready! Cooldown timer by {1:seconds.1} seconds.
52291A3B	CAR_MDL_CROWNCOP	CROWN VICTORIA POLICE INTERCEPTOR
52357DD8	TXT_OPTNS_SOC_DECLNFRNDS	AUTO-DECLINE ALL FRIEND REQUESTS
525A7518		GENTERA
52728688	TXT_NEXT_RANK	NEXT RANK:
5293B06C	TXT_NEWS_RANKING_ECLIPSED	[{0:s}] has just beaten you in the {1:s} Rankings with a score of {2:s}
52A15681	RANKING_HUD_COMPLETE	COMPLETE
52E6CD25	TXT_INSTR_DRIVINGYOURCAR	You can use either the keyboard controls as shown above or use a USB controller to play the game. Once ready, click [Continue] to start the race!
52F78292	PARTMANU_TEAR	TEAR
52F84881	PARTMANU_URSA	URSA MOTORSPORT
52FACF06	PARTMANU_ZERO	ZERO TUNING MODS
530A20FE	SKILLMOD_DESC_REDLINE	Perfect Start RPM range increased by {0:s}
5345BAB8	NFSW_m6_Header1	BOLD, POWERFUL AND AGGRESSIVE!
5345BAB9	NFSW_m6_Header2	YOUR BMW M6 COUPE IS HERE!
535A932A	TXT_PRFL_RD_BLOCKS_DODGED	ROAD BLOCKS DODGED
5365D1BB	CUST_VINYL_GROUP_PRIMITIVES_EIKON	EIKON
53684E82	TXT_AI_DRIVER_NAME_000	DIGITALGUIDO
53684E83	TXT_AI_DRIVER_NAME_001	AGOSTINI
53684E84	TXT_AI_DRIVER_NAME_002	CAIRO
53684E85	TXT_AI_DRIVER_NAME_003	CIARA B
53684E86	TXT_AI_DRIVER_NAME_004	TYKE
53684E87	TXT_AI_DRIVER_NAME_005	WAIWAI
53684E88	TXT_AI_DRIVER_NAME_006	QUEENIE
53684E89	TXT_AI_DRIVER_NAME_007	DEVELLIS
53684E8A	TXT_AI_DRIVER_NAME_008	ALEXEY
53684E8B	TXT_AI_DRIVER_NAME_009	JACK
53684EA3	TXT_AI_DRIVER_NAME_010	KATE
53684EA4	TXT_AI_DRIVER_NAME_011	KYLIE
53684EA5	TXT_AI_DRIVER_NAME_012	NEEN
53684EA6	TXT_AI_DRIVER_NAME_013	HIRO
53684EA7	TXT_AI_DRIVER_NAME_014	MAD MEGAN
53684EA8	TXT_AI_DRIVER_NAME_015	FROLOV
53684EA9	TXT_AI_DRIVER_NAME_016	ABDUDE 
53684EAA	TXT_AI_DRIVER_NAME_017	HARSHMELLOW
53684EAB	TXT_AI_DRIVER_NAME_018	NETTDATA
53684EAC	TXT_AI_DRIVER_NAME_019	DREWHA
53684EC4	TXT_AI_DRIVER_NAME_020	JOHAN
53684EC5	TXT_AI_DRIVER_NAME_021	KOREMAN
53684EC6	TXT_AI_DRIVER_NAME_022	Al SPARROW
53684EC7	TXT_AI_DRIVER_NAME_023	AARON
53684EC8	TXT_AI_DRIVER_NAME_024	COREYGIRL
53684EC9	TXT_AI_DRIVER_NAME_025	MAVERICK
53684ECA	TXT_AI_DRIVER_NAME_026	SCOTTY MAC
53684ECB	TXT_AI_DRIVER_NAME_027	DIEGO
53684ECC	TXT_AI_DRIVER_NAME_028	MOGG
53684ECD	TXT_AI_DRIVER_NAME_029	KIANA
53684EE5	TXT_AI_DRIVER_NAME_030	JITTERS
53684EE6	TXT_AI_DRIVER_NAME_031	TOMO
53684EE7	TXT_AI_DRIVER_NAME_032	LAURIS 
53684EE8	TXT_AI_DRIVER_NAME_033	RAKHMAN
53684EE9	TXT_AI_DRIVER_NAME_034	CRED
53684EEA	TXT_AI_DRIVER_NAME_035	RYDEN
53684EEB	TXT_AI_DRIVER_NAME_036	VISIGOTH
53684EEC	TXT_AI_DRIVER_NAME_037	DUTCHMAN
53684EED	TXT_AI_DRIVER_NAME_038	OVERDR
53684EEE	TXT_AI_DRIVER_NAME_039	WALL
53684F06	TXT_AI_DRIVER_NAME_040	AZLAN
53684F07	TXT_AI_DRIVER_NAME_041	LILY
53684F08	TXT_AI_DRIVER_NAME_042	BARKER
53684F09	TXT_AI_DRIVER_NAME_043	SHEZ
53684F0A	TXT_AI_DRIVER_NAME_044	ENEKO
53684F0B	TXT_AI_DRIVER_NAME_045	CEDRIC
53684F0C	TXT_AI_DRIVER_NAME_046	CLARK
53684F0D	TXT_AI_DRIVER_NAME_047	COOLIDGE
53684F0E	TXT_AI_DRIVER_NAME_048	TRISTAN
53684F0F	TXT_AI_DRIVER_NAME_049	DENTON
53684F27	TXT_AI_DRIVER_NAME_050	DEZIEL
53684F28	TXT_AI_DRIVER_NAME_051	DANIEL
53684F29	TXT_AI_DRIVER_NAME_052	DURET
53684F2A	TXT_AI_DRIVER_NAME_053	ARAM
53684F2B	TXT_AI_DRIVER_NAME_054	SEREN
53684F2C	TXT_AI_DRIVER_NAME_055	WONG
53684F2D	TXT_AI_DRIVER_NAME_056	CHARLY
53684F2E	TXT_AI_DRIVER_NAME_057	AIDAN
53684F2F	TXT_AI_DRIVER_NAME_058	GREFFORD
53684F30	TXT_AI_DRIVER_NAME_059	BILL
53684F48	TXT_AI_DRIVER_NAME_060	MAARTEN
53684F49	TXT_AI_DRIVER_NAME_061	HEINBUCH
53684F4A	TXT_AI_DRIVER_NAME_062	VICTOR
53684F4B	TXT_AI_DRIVER_NAME_063	SUNG
53684F4C	TXT_AI_DRIVER_NAME_064	HSU
53684F4D	TXT_AI_DRIVER_NAME_065	MITCH
53684F4E	TXT_AI_DRIVER_NAME_066	JENSEN
53684F4F	TXT_AI_DRIVER_NAME_067	KIANG
53684F50	TXT_AI_DRIVER_NAME_068	KING
53684F51	TXT_AI_DRIVER_NAME_069	NICOLE
53684F69	TXT_AI_DRIVER_NAME_070	IRWAN
53684F6A	TXT_AI_DRIVER_NAME_071	KWAN
53684F6B	TXT_AI_DRIVER_NAME_072	DANNY
53684F6C	TXT_AI_DRIVER_NAME_073	LEE
53684F6D	TXT_AI_DRIVER_NAME_074	MIMI
53684F6E	TXT_AI_DRIVER_NAME_075	LULI
53684F6F	TXT_AI_DRIVER_NAME_076	SIMON
53684F70	TXT_AI_DRIVER_NAME_077	MAYER
53684F71	TXT_AI_DRIVER_NAME_078	JASON
53684F72	TXT_AI_DRIVER_NAME_079	NGAI
53684F8A	TXT_AI_DRIVER_NAME_080	LANZ
53684F8B	TXT_AI_DRIVER_NAME_081	PENNEY
53684F8C	TXT_AI_DRIVER_NAME_082	PYRA
53684F8D	TXT_AI_DRIVER_NAME_083	QUAN
53684F8E	TXT_AI_DRIVER_NAME_084	MORGAN
53684F8F	TXT_AI_DRIVER_NAME_085	REECE
53684F90	TXT_AI_DRIVER_NAME_086	FRANK
53684F91	TXT_AI_DRIVER_NAME_087	FARHAD
53684F92	TXT_AI_DRIVER_NAME_088	SEVIGNY
53684F93	TXT_AI_DRIVER_NAME_089	JON
53684FAB	TXT_AI_DRIVER_NAME_090	MELVIN
53684FAC	TXT_AI_DRIVER_NAME_091	TRAJKOV
53684FAD	TXT_AI_DRIVER_NAME_092	TRAN
53684FAE	TXT_AI_DRIVER_NAME_093	TSE
53684FAF	TXT_AI_DRIVER_NAME_094	ALEX
53684FB0	TXT_AI_DRIVER_NAME_095	VERSTEEG
53684FB1	TXT_AI_DRIVER_NAME_096	WU
53684FB2	TXT_AI_DRIVER_NAME_097	XIONG
53684FB3	TXT_AI_DRIVER_NAME_098	GAO
53684FB4	TXT_AI_DRIVER_NAME_099	KONRAD
536852C3	TXT_AI_DRIVER_NAME_100	OMOTANI
536852C4	TXT_AI_DRIVER_NAME_101	HARUKI
536852C5	TXT_AI_DRIVER_NAME_102	STRUMMER
536852C6	TXT_AI_DRIVER_NAME_103	ROLO
536852C7	TXT_AI_DRIVER_NAME_104	ELIN
536852C8	TXT_AI_DRIVER_NAME_105	FIXER
536852C9	TXT_AI_DRIVER_NAME_106	OAKS
536852CA	TXT_AI_DRIVER_NAME_107	BARRY
536852CB	TXT_AI_DRIVER_NAME_108	NICK
536852CC	TXT_AI_DRIVER_NAME_109	THE DUKE
536852E4	TXT_AI_DRIVER_NAME_110	COLLINS
536852E5	TXT_AI_DRIVER_NAME_111	ANDY BEE
536852E6	TXT_AI_DRIVER_NAME_112	BANK
536852E7	TXT_AI_DRIVER_NAME_113	MEL
536852E8	TXT_AI_DRIVER_NAME_114	BUTLER
536852E9	TXT_AI_DRIVER_NAME_115	WICKED
536852EA	TXT_AI_DRIVER_NAME_116	VANCE
536852EB	TXT_AI_DRIVER_NAME_117	BOYD
536852EC	TXT_AI_DRIVER_NAME_118	DEUCE 66
536852ED	TXT_AI_DRIVER_NAME_119	SNOWMAN
53685305	TXT_AI_DRIVER_NAME_120	BIGGIE
53685306	TXT_AI_DRIVER_NAME_121	ATOMIC
53685307	TXT_AI_DRIVER_NAME_122	ELTON
53685308	TXT_AI_DRIVER_NAME_123	SNAP
53685309	TXT_AI_DRIVER_NAME_124	REACTIVE
5368530A	TXT_AI_DRIVER_NAME_125	SP33DY
5368530B	TXT_AI_DRIVER_NAME_126	MOJO
5368530C	TXT_AI_DRIVER_NAME_127	LADY DEE
5368530D	TXT_AI_DRIVER_NAME_128	CHUNG
5368530E	TXT_AI_DRIVER_NAME_129	TYLER
53685326	TXT_AI_DRIVER_NAME_130	GEARS
53685327	TXT_AI_DRIVER_NAME_131	MACCA
53685328	TXT_AI_DRIVER_NAME_132	GRIFFIN
53685329	TXT_AI_DRIVER_NAME_133	CAMEO
5368532A	TXT_AI_DRIVER_NAME_134	TRIPLE S
5368532B	TXT_AI_DRIVER_NAME_135	FLARE
5368532C	TXT_AI_DRIVER_NAME_136	TWIGG
5368532D	TXT_AI_DRIVER_NAME_137	LIL TIMMY
5368532E	TXT_AI_DRIVER_NAME_138	BOOSTER
5368532F	TXT_AI_DRIVER_NAME_139	HIGHBEAM
53685347	TXT_AI_DRIVER_NAME_140	PERP
53685348	TXT_AI_DRIVER_NAME_141	LUNATIC
53685349	TXT_AI_DRIVER_NAME_142	LIGHTNING
5368534A	TXT_AI_DRIVER_NAME_143	SHORTSHIFT
5368534B	TXT_AI_DRIVER_NAME_144	PREZ
5368534C	TXT_AI_DRIVER_NAME_145	CHROMATIC
5368534D	TXT_AI_DRIVER_NAME_146	DRIFTWAGON
5368534E	TXT_AI_DRIVER_NAME_147	CLOSER
5368534F	TXT_AI_DRIVER_NAME_148	LUCKY13
53685350	TXT_AI_DRIVER_NAME_149	RUSTY
53685368	TXT_AI_DRIVER_NAME_150	PRANKSTA
53685369	TXT_AI_DRIVER_NAME_151	BRNR
5368536A	TXT_AI_DRIVER_NAME_152	TACO
5368536B	TXT_AI_DRIVER_NAME_153	SHYSEVEN
5368536C	TXT_AI_DRIVER_NAME_154	GEARED
5368536D	TXT_AI_DRIVER_NAME_155	STOMPER
5368536E	TXT_AI_DRIVER_NAME_156	HANS
5368536F	TXT_AI_DRIVER_NAME_157	STALLION
53685370	TXT_AI_DRIVER_NAME_158	SERUM
53685371	TXT_AI_DRIVER_NAME_159	MABEC
53685389	TXT_AI_DRIVER_NAME_160	CRANE
5368538A	TXT_AI_DRIVER_NAME_161	DEELUX
5368538B	TXT_AI_DRIVER_NAME_162	SQUEAL
5368538C	TXT_AI_DRIVER_NAME_163	FROGG
5368538D	TXT_AI_DRIVER_NAME_164	ASPHALT
5368538E	TXT_AI_DRIVER_NAME_165	CRIKET
5368538F	TXT_AI_DRIVER_NAME_166	MUPTON
53685390	TXT_AI_DRIVER_NAME_167	BIG MOE
53685391	TXT_AI_DRIVER_NAME_168	LARS
53685392	TXT_AI_DRIVER_NAME_169	WATSON
536853AA	TXT_AI_DRIVER_NAME_170	TRRBO
536853AB	TXT_AI_DRIVER_NAME_171	BAKER
536853AC	TXT_AI_DRIVER_NAME_172	TINKER
536853AD	TXT_AI_DRIVER_NAME_173	HUNTER
536853AE	TXT_AI_DRIVER_NAME_174	SYLES
536853AF	TXT_AI_DRIVER_NAME_175	BENNY
536853B0	TXT_AI_DRIVER_NAME_176	ROTH
536853B1	TXT_AI_DRIVER_NAME_177	SMITH
536853B2	TXT_AI_DRIVER_NAME_178	KIARA
536853B3	TXT_AI_DRIVER_NAME_179	ZULU
536853CB	TXT_AI_DRIVER_NAME_180	BRAMAGE
536853CC	TXT_AI_DRIVER_NAME_181	ROSS
536853CD	TXT_AI_DRIVER_NAME_182	TIPLER
536853CE	TXT_AI_DRIVER_NAME_183	DONK
536853CF	TXT_AI_DRIVER_NAME_184	CHOPPER
536853D0	TXT_AI_DRIVER_NAME_185	GLUE
536853D1	TXT_AI_DRIVER_NAME_186	SNYPER
536853D2	TXT_AI_DRIVER_NAME_187	PATRICK
536853D3	TXT_AI_DRIVER_NAME_188	BLACKROCK
536853D4	TXT_AI_DRIVER_NAME_189	PLAYA
536853EC	TXT_AI_DRIVER_NAME_190	CEEJAY
536853ED	TXT_AI_DRIVER_NAME_191	JAYCEE
536853EE	TXT_AI_DRIVER_NAME_192	RICKY
536853EF	TXT_AI_DRIVER_NAME_193	ROSCOE
536853F0	TXT_AI_DRIVER_NAME_194	HIGHROLLER
536853F1	TXT_AI_DRIVER_NAME_195	SAMMIE
536853F2	TXT_AI_DRIVER_NAME_196	SANTOS
536853F3	TXT_AI_DRIVER_NAME_197	SEAN
536853F4	TXT_AI_DRIVER_NAME_198	WHEELZ
536853F5	TXT_AI_DRIVER_NAME_199	THRUST
53685704	TXT_AI_DRIVER_NAME_200	SKYE
53685705	TXT_AI_DRIVER_NAME_201	MANGO
53685706	TXT_AI_DRIVER_NAME_202	KENZO
53685707	TXT_AI_DRIVER_NAME_203	PUDDIN
53685708	TXT_AI_DRIVER_NAME_204	LOWBALL
53685709	TXT_AI_DRIVER_NAME_205	SUSHI
5368570A	TXT_AI_DRIVER_NAME_206	TOMMY
5368570B	TXT_AI_DRIVER_NAME_207	TYSON
5368570C	TXT_AI_DRIVER_NAME_208	DIZZY
5368570D	TXT_AI_DRIVER_NAME_209	VANESSA
53685725	TXT_AI_DRIVER_NAME_210	SNAIL
53685726	TXT_AI_DRIVER_NAME_211	KILLA
53685727	TXT_AI_DRIVER_NAME_212	BULLET
53685728	TXT_AI_DRIVER_NAME_213	MAX
53685729	TXT_AI_DRIVER_NAME_214	CHAN
5368572A	TXT_AI_DRIVER_NAME_215	BRUNO
5368572B	TXT_AI_DRIVER_NAME_216	MICHELLE
5368572C	TXT_AI_DRIVER_NAME_217	GUNTHER
5368572D	TXT_AI_DRIVER_NAME_218	VARGAS
5368572E	TXT_AI_DRIVER_NAME_219	FRANKIE
53685746	TXT_AI_DRIVER_NAME_220	SKAN
53685747	TXT_AI_DRIVER_NAME_221	MALICE
53685748	TXT_AI_DRIVER_NAME_222	ERROL
53685749	TXT_AI_DRIVER_NAME_223	ASTRAL
5368574A	TXT_AI_DRIVER_NAME_224	DEENEN
5368574B	TXT_AI_DRIVER_NAME_225	SHINGO
5368574C	TXT_AI_DRIVER_NAME_226	TAKESHI
5368574D	TXT_AI_DRIVER_NAME_227	SAORI
5368574E	TXT_AI_DRIVER_NAME_228	ANAMORI
5368574F	TXT_AI_DRIVER_NAME_229	HAYATO
53685767	TXT_AI_DRIVER_NAME_230	ARMANDO
53685768	TXT_AI_DRIVER_NAME_231	HENSHAW
53685769	TXT_AI_DRIVER_NAME_232	JAKE
5368576A	TXT_AI_DRIVER_NAME_233	BORKA
5368576B	TXT_AI_DRIVER_NAME_234	CAELAN
5368576C	TXT_AI_DRIVER_NAME_235	SPONGE
5368576D	TXT_AI_DRIVER_NAME_236	TAPSY
5368576E	TXT_AI_DRIVER_NAME_237	PUERTO
5368576F	TXT_AI_DRIVER_NAME_238	YULAY
53685770	TXT_AI_DRIVER_NAME_239	ANNA
53685788	TXT_AI_DRIVER_NAME_240	FERAL
53685789	TXT_AI_DRIVER_NAME_241	LIZZY
5368578A	TXT_AI_DRIVER_NAME_242	DALLAS
5368578B	TXT_AI_DRIVER_NAME_243	CLOWN
5368578C	TXT_AI_DRIVER_NAME_244	CHO
5368578D	TXT_AI_DRIVER_NAME_245	BLAINE
5368578E	TXT_AI_DRIVER_NAME_246	SPIDER
5368578F	TXT_AI_DRIVER_NAME_247	LOCO
53685790	TXT_AI_DRIVER_NAME_248	OTTO
53685791	TXT_AI_DRIVER_NAME_249	DISCO
536857A9	TXT_AI_DRIVER_NAME_250	BUNNY
5374D7DC	MSG_GENERAL_SPLIT_TIME	SPLIT TIME {0:s}
539DE92B	TLE_POPUP_PART_PURCHASED	THAT PART HAS BEEN PURCHASED AND INSTALLED ON YOUR CAR.
539DEC2E	MSG_PUP_RHINO_WARNING	RHINO DETECTED!
53A4E0BD	NFSW_darius_header1	TOP BOSS CASH CAR!
53A4E0BE	NFSW_darius_header2	OWN THIS LEVEL 40 CAR TODAY
53AD2BFC	CAR_MDL_DAYTONACOUPE	COBRA "DAYTONA" COUPE ®
53D0941C	TXT_CMN_MULTIPLYRCOMP	MULTIPLAYER
53D14EB3	TXT_NEWS_REQUEST_AUTODECLINED	You automatically declined a Friend Request from {0:s}. 
53E1252C	TXT_SH_POPUP_SAVE_CHANGES_CREDIT	YOU HAVE MADE CHANGES TO YOUR CAR WHICH WILL GIVE YOU A {0:$.0} CREDIT. DO YOU WANT TO SAVE THESE CHANGES?
53F8A547	TXT_TOOLTIP_DURABILITY_REPAIR_NEEDED	DURABILITY: {0:d}% REPAIR YOUR CAR IN THE SAFEHOUSE
53FBBB9D	TXT_NEWS_TIER1_FORCEDINDUCTIONPACK	The Tier 1 Forced Induction Pack is now on sale in the Card Pack store for a limited time only. Hurry and purchase it now! [0:l0]
54164FFB	CMN_MISSION_DAILY_GEMS	COLLECT ALL OF THE GEMS
541C100A	TXT_HDR_PURSUITS	PURSUITS
542F171E	TXT_NFSW_STARTER_PACK	Thank you for joining our World and we hope you have a great time with the game. Good luck on the streets.
5439383E	TXT_POPUP_FRTARGTFULL	Cannot add Friend.\n[{0:s}] has a full Friends List.
546B2962	NFSW_elite_car_pack	Get The Original Elites!
546C0748	TRACK_NAME_COPS	COP TEST
547E2E77	TXT_IME_LANGINDICATOR	EN
5488DC2E	TXT_CMN_REQUESTDUEL	CHALLENGE TO DUEL
548C56C5	CUST_VINYL_GROUP_CHICANE	CHICANE
54999458	CUST_VINYL_GROUP_PRIMITIVES_VISOR	VISOR
54ADE951	TXT_OPTNS_VOIP_MIC_SENSITIVITY	MICROPHONE SENSITIVITY
54FE634D	TXT_OPTNS_VOIP_INPUT_DEVICE	MICROPHONE INPUT DEVICE
5500DA4B	CAR_MDL_BMW3CSL	3.0 CSL Gr. 5
55165800	TXT_CMN_LENGTH_FEET	{0:d} FT
551F0D6F	LB_EMERGENCY_EVADE	{0:d}x EMERGENCY EVADE
552CA3A4	TXT_RESULTS_SUGGSALE_SLINGSHOT	Use Slingshot when you fall behind in a Race to help catch-up to the leaders.
555AFEFB	TXT_POPUP_QUITEVENTCONFRM	ARE YOU SURE YOU WANT TO QUIT?
5562BC37	KEYBOARD_SC_RCONTROL	RIGHT CTRL
556816DC	PARTMANU_SPEEDSCIENS	SPEEDSCIENS.
559C806C	TXT_LBL_MAPEVENT_SHOWEVENTS	SHOW EVENTS
55A32E45	TXT_CMN_ACCELERATION	ACCELERATION
55A84575	txt_vinyl_shop_store	VINYL CATALOG
55E7C104	CMN_LEVEL_WITH_SYMBOL	 LEVEL {0:d}
55EF486C	TXT_COLOUR_RED	RED
55F7D991	TXT_SYSCHT_CHANNEL_NOTEXIST	Channel {0:s} {1:d} does not exist. Please join another.
56276C6B	GM_CATALOG_IFORGED_STYLE02_17_25	EVOLUTION 17"	
5627F8CC	GM_CATALOG_IFORGED_STYLE02_18_25	EVOLUTION 18"	
5628852D	GM_CATALOG_IFORGED_STYLE02_19_25	EVOLUTION 19"	
5635AE45	GM_CATALOG_IFORGED_STYLE02_20_25	EVOLUTION 20"	
56363AA6	GM_CATALOG_IFORGED_STYLE02_21_25	EVOLUTION 21"	
5655FF8C	TXT_OPTNS_GPL_FAR	FAR
565FC736	SKILLTEXT_ROLLING_FORTRESS_R5	Increases the duration of Shield by {1:seconds.1} seconds.
5665C2F8	TXT_TLTP_SOCSET_SHONEWS	AUTOMATICALLY OPEN FEED ON SIGN-IN
56838B9D	TXT_RACE_INVITATION	PRIVATE RACE INVITATION
5690632C	gamechannel_copy	Need for Speed World is a FREE to play online racing game where you can compete with millions of players around the World in a massive open world.\n\nMassive Open World - Over 100+ miles of driving pleasure\n\nWin in style with a massive selection of beautiful licensed cars\n\nShow your style with Visual Customization elements\n\nMax out your ride with Performance Customization parts\n\nPLAY NOW FOR FREE!\nNeed for Speed World is a FREE to play online racing game that features an expansive licensed car list. Players are able to race through a massive open world that delivers 100+ miles of driving pleasure.\n\nWin Races In Beautiful Licensed Cars\nWin in style with a massive selection of licensed Tuners, Muscle, Exotics and Classics and Supercars. Need for Speed World features more cars than any other Need for Speed ever! Increase your chances of winning a Race or evading cops in a Pursuit by loading up your car with Powerups such as Nitrous and Juggernaut!\n\nExperience The Massive Open-World\nCompete with m
